chem_code,chemalpha_cd,chemname
2368,3650,"ALKYLARYL POLYETHOXY ETHANOL PHOSPHATE"
1264,3700,"ALKYLARYL POLYGLYCOL ETHER"
1507,3900,"ALKYLARYL POYLOXYETHYLENE ETHANOL"
881,4000,"ALKYLARYL POLYOXYETHYLENE ETHER"
748,4100,"ALKYLARYL POLY(OXYETHYLENE) GLYCOL"
2198,4150,"ALKYLARYL POLYETHYLENE GLYCOL ETHER"
2024,4250,"ALKYLARYL POLYOXYETHYLENE GLYCOL PHOSPHATE ESTER"
2369,4300,"ALKYLARYL POLYOXY GLYCOL"
2370,4350,"ALKYL ARYL POLYOXYALKANE ETHER AND FREE FATTY ACIDS AND IPA"
3573,4360,"ALKYL (AS IN FATTY ACIDS OF COCONUT OIL) MONOETHANOLAMIDE"
2371,4370,"ALKYL (C9H12) BENZENES"
1218,4400,"ALKYL BENZENE SULFONIC ACID"
1630,4500,"ALKYL (C10-C14) BENZENE SULFONIC ACID, CALCIUM SALT"
1739,4600,"PARA-ALKYL (C9-C13) BENZENE SULFONIC ACID, SODIUM SALT"
1438,4700,"ALKYL BENZYL GLYOXALIDINIUM CHLORIDE"
2342,4720,"2-ALKYL-1-BENZYL-1-(2-HYDROXYETHYL)-2-IMIDAZOLINIUM CHLORIDE (ALKYD"
3021,4740,"ALKYL N,N-BIS (2-HYDROXY ETHYLAMINE) (100% C12-C18)"
2031,4750,"ALKYL (C8-C18) BIS (2-HYDROXYETHYL) BENZYL AMMONIUM CHLORIDE"
3969,4755,"ALKYL DIETHYLAMIDE, ALKYL DERIVED FROM PALM KERNAL OIL FATTY ACIDS"
2372,4760,"ALKYL DIMETHYL AMINE"
3896,4765,"ALKYL (C10-16) DIMETHYL AMINE OXIDE"
2373,4770,"ALKYL (100%C14) DIMETHYL BENZYL AMMONIUM CHLORIDE"
2374,4780,"ALKYL (C14, C12, C16) DIMETHYL BENZYL AMMONIUM CHLORIDE"
1903,4850,"ALKYL & DIALKYL (C8-C13) PHENOXYBENZENE DISULFONIC ACID, SODIUM"
1714,4900,"ALKYL & DIALKYL SUCCINIC ACIDS, SALTS OF"
1970,4910,"ALKYL (47%C12, 18%C14, 10%C18, 10%C16, 15%C8-C10) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1850,4920,"ALKYL (50%C12, 30%C14, 17%C16, 3%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1846,4930,"ALKYL (50%C14, 40%C12, 10%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
3535,4935,"ALKYL (53%C12, 19%C14, 8.5%C16, 7%C8, 6.5%C10, 6%C18) DIMETHYL BENZYLAMMONIUM CHLORIDE"
1912,4940,"ALKYL (58%C14, 28%C16, 14%C12) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1956,4945,"ALKYL (60%C14, 25%C12, 15%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1847,4950,"ALKYL (60%C14, 30%C16, 5%C12, 5%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1975,4960,"ALKYL (61%C12, 23%C14, 11%C16, 5%C18) DIMETHYL BENZYL AMMONIUM CHLORIDE"
2060,4970,"ALKYL (61%C12, 23%C14, 11%C16, 5%C8,C10,C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1960,4980,"ALKYL (61%C12, 23%C14, 11%C16, 3%C10, 2%C8) DIMETHYLBENZYL"
2375,4990,"ALKYL (61%C12,23%C14,11%C16,2.5%C8 & C10,2.5%C18) DIMETHYL BENZYL AMMONIUM CHLORIDE"
1971,5000,"ALKYL (65%C12, 25%C14, 10%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1853,5025,"ALKYL (67%C12, 25%C14, 7%C16, 1%C8,C10,C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1977,5050,"ALKYL (90%C14, 5%C12, 5%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1991,5075,"ALKYL (93%C14, 4%C12, 3%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
3855,5085,"ALKYL (95%C14, 3%C12, 2%C16) DIMETHYL BENZYL AMMONIUM CHLORIDE"
2152,5100,"ALKYL (95%C14, 3%C12, 2%C16) DIMETHYL BENZYL AMMONIUM CHLORIDE DIHYDRATE"
3897,5120,"ALKYL (95%C14, 3%C12, 2%C16) DIMETHYL BENZYL AMMONIUM CHLORIDE MONOHYDRATE"
324,5135,"ALKYL (50%C14, 40%C12, 10%C16) DIMETHYLBENZYL AMMONIUM SACCHARINATE"
2027,5140,"ALKYL (50%C12, 30%C14, 17%C16, 3%C18) DIMETHYL DICHLOROBENZYL AMMONIUM CHLORIDE"
1919,5150,"ALKYL DIMETHYL CUMENYL AMMONIUM CHLORIDE"
1909,5200,"ALKYL (90%C14, 5%C12, 5%C16) DIMETHYL DICHLOROBENZYL AMMONIUM CHLORIDE"
5126,5225,"ALKYL(68%C12, 32%C14)DIMETHYL DIMETHYLBENZYL AMMONIUM CHLORIDE"
2057,5250,"ALKYL (90%C14, 5%C12, 5%C16) DIMETHYL ETHYL AMMONIUM BROMIDE"
1849,5450,"ALKYL (50%C12, 30%C14, 17%C16, 3%C18) DIMETHYLETHYLBENZYL AMMONIUM CHLORIDE"
1854,5470,"ALKYL (68%C12, 32%C14) DIMETHYLETHYLBENZYL AMMONIUM CHLORIDE"
1722,5500,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CYCLOHEXYL SULFAMATE"
1002,5600,"ALKYL DIMETHYL ETHYL BENZYL AMMONIUM CYCLOHEXYL SULFONATE"
884,5700,"ALKYL DIMETHYL ISOPROPYL BENZYL AMMONIUM CHLORIDE"
1839,5830,"ALKYL (98%C12, 2%C14) DIMETHYL 1-NAPHTHYLMETHYL AMMONIUM CHLORIDE"
1750,5850,"N-ALKYL (47%C12, 18%C14, 10%C18, 9%C10, 8%C8, 8%C16) DIPROPOXY AMINE"
986,6000,"N-ALKYL (92%C18, 8%C16)-N-ETHYL MORPHOLINIUM ETHYL SULFATE"
2077,6020,"ALPHA-ALKYL (C10-C12)-OMEGA-HYDROXYPOLY (OXYETHYLENE)"
1844,6030,"ALPHA-ALKYL (C10-C14)-OMEGA-HYDROXYPOLY (OXYETHYLENE)"
1874,6040,"ALPHA-ALKYL-OMEGA-HYDROXYPOLY (OXYETHYLENE) ETHANOL"
1878,6050,"ALPHA-ALKYL (C12-C15)-OMEGA-HYDROXYPOLY (OXYETHYLENE), (ETHYLENE"
1834,6060,"ALPHA-ALKYL (43%C10, 30%C14, 12%C12, 10%C16, 5%C18) POLY (OXYETHYLENE) POLY (OXYPROPYLENE) - I2 COMPLEX"
1884,6090,"ALPHA-ALKYL-OMEGA-HYDROXYPOLY (OXYETHYLENE) POLY (OXYETHYLENE),"
1700,6100,"ALPHA-ALKYL (C10-C18)- OMEGA-HYDROXYPOLY (OXYETHYLENE) SULFATE"
1392,6200,"ALPHA-ALKYL (MIXED)-OMEGA-HYDROXYPOLY (OXYETHYLENE) SULFATE"
2035,6250,"ALPHA-ALKYL (C6-C14)-OMEGA HYDROXYPOLY-(1-3 MOLES)-OXYPROPYLENE-(7-9 MOLES)-OXYETHYLENE)-ETHANOL PROPANOL"
3996,6275,"ALPHA-PINENE POLYMER"
1558,6300,"ALKYL IMIDAZOLINE MONOCARBOXYLATE, MONOSODIUM SALT"
1833,6400,"2-ALKYL (50%C12, 30%C14, 17%C16, 3%C18) ISOQUINOLINIUM BROMIDE"
928,6500,"ALKYL METHYL ISOQUINOLINIUM CHLORIDE"
1045,6700,"ALKYL MONOETHYOXYETHANOL, DIETHOXYETHYL BENZYL AMMONIUM CHLORIDE"
1068,6950,"ALKYL OLECIN AROMATIC POLYMERS"
4006,6960,"C9-C11 ALKYL, OLIGOMERIC D-GLUCOPYRANOSIDE"
2048,6975,"ALKYL OXY POLYETHOXY ETHANOL"
1715,7000,"ALKYL OXY POLY (ETHYLENEOXY) ETHYL PHOSPHATE"
3574,7010,"ALKYL (100% C10-C14) OXY POLY (ETHYLENE OXY) ETHYL PHOSPHATE"
3575,7020,"ALKYL (100% C10-C13) OXY POLY (ETHYLENE OXY) ETHYL PHOSPHATE, MONO-"
2136,7050,"ALKYL OXY-POLYOXYETHYLENE AND ALKYL PHENYLOXY-POLYOXYETHYLENE"
1173,7300,"ALKYL PHENOXY POLY (ETHOXY) ETHANOL"
3572,7350,"ALKYL (100% C11-C15) PHENOXYPOLY (ETHYLENE OXY) ETHANOL"
1064,7400,"ALKYL PHENYL POLY (ETHOXY) ETHANOL"
1376,7600,"ALKYL POLYETHYLENE GLYCOL ETHER"
1172,7700,"ALKYLPOLY GLYCOL ETHER"
4015,7750,"ALKYL (C8,C10) POLYGLYCOSIDE"
2123,7800,"ALKYL POLYOXY ALKYLENE ETHER"
2014,7925,"ALKYL POLYOXY ETHYLENE ETHER, DIPHOSPHORIC ACID ESTER"
2377,7935,"ALKYL POLYOXY ETHYLENE ETHER, FREE FATTY ACIDS"
2015,7950,"ALKYL POLYOXY ETHYLENE ETHER, MONOPHOSPHORIC ACID ESTER"
2158,7960,"ALKYL POLYOXY ETHYLENE ETHERS, POLYMERIZED RESINS AND FATTY ACIDS"
2051,7975,"ALKYL POLYOXY ETHYLENE GLYCOLS"
1734,8000,"ALKYL (C12-C15)-POLY(OXYPROPYLENE) POLY(OXYETHYLENE) - IODINE COMPLEX"
2063,8025,"ALKYL (29%C14, 29%C13, 21%C12, 21%C15) POLY(OXYPROPYLENE) POLY (OXYETHYLENE) - IODINE COMPLEX"
1780,8050,"ALKYL (53%C12, 19%C14, 8.5%C16, 7%C8, 6.5%C10, 6%C18)-1,3-PROPANE DIAMINE"
5068,8070,"ALKYL(42%C12, 26%C18, 15%C14, 8%C16, 5%C10, 4%C8)1,3-PROPYLENE"
1379,8100,"ALKYL-1,3-PROPYLENE DIAMINE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1380,8200,"ALKYL-1,3-PROPYLENE DIAMINE ACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1841,8250,"ALKYL-1,3-PROPYLENE DIAMINE ADIPATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1735,8275,"N-ALKYL-1,3-PROPYLENE DIAMINE MONOBENZOATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1137,8300,"ALKYL PYRIDINES, MIXED"
3020,8375,"N-ALKYL (SOZA)-N-METHYL MORPHOLINIUM SULFATE"
1197,8400,"ALKYL SULFATE"
1648,8500,"ALKYL SULFATE, SODIUM SALT"
1827,8650,"ALKYL TRIMETHYL AMMONIUM BROMIDES"
2228,8700,"ALKYL (58%C18, 40%C16, 1%C14, 1%C12) TRIMETHYL AMMONIUM CHLORIDE"
10,8800,"ALKYL (70%C18, 27%C16, 3%C14) TRIMETHYL AMMONIUM CHLORIDE"
3022,8875,"ALLANTOIN"
12,8900,"ALLETHRIN"
90012,9000,"ALLETHRIN, OTHER RELATED"
2293,9100,"D-ALLETHRIN"
92293,9150,"D-ALLETHRIN, OTHER RELATED"
4038,9155,"D-TRANS ALLETHRIN"
94038,9157,"D-TRANS ALLETHRIN, OTHER RELATED"
114,9160,"ALLIDOCHLOR"
3023,9180,"ALLYL ALCOHOL"
1010,9200,"ALLYL ISOTHIOCYANATE"
2376,9250,"ALLYL OXY POLY ETHYLENE GLYCOL MONOALLYL ACETATE"
3576,9253,"ALMOND, BITTER"
3577,9254,"ALMOND HULLS"
3578,9255,"ALMOND SHELLS"
5454,9270,"ALOE VERA OIL"
5740,9280,"ALPHA-ALKYL (C12-C15) OMEGA-HYDROXY POLY (OXYETHYLENE), SODIUM SALT"
1042,9300,"ALUMINUM"
3025,9310,"ALUMINUM ACETATE"
3026,9320,"ALUMINUM BICARBONATE"
3027,9330,"ALUMINUM CAPRYLATE"
3028,9340,"ALUMINUM CHLORIDE"
3029,9345,"ALUMINUM DIACETATE"
2145,9350,"ALUMINUM HYDROXIDE"
2378,9370,"ALUMINUM MAGNESIUM SILICATE"
3030,9375,"ALUMINUM OXIDE"
484,9400,"ALUMINUM PHOSPHIDE"
3031,9425,"ALUMINUM POTASSIUM SULFATE"
2379,9450,"ALUMINUM SILICATE"
3032,9475,"ALUMINUM STEARATE"
1415,9500,"ALUMINUM SULFATE"
18,9700,"AMETRYNE"
90018,9800,"AMETRYNE, OTHER RELATED"
860,10100,"AMIDE-AMINE OLEATE FATTY ACIDS AND POLYAMINES, MIXED"
2351,10150,"AMIDOCHLOR"
1487,10200,"AMINACRINE HYDROCHLORIDE"
3033,10250,"AMINE 220"
1747,10300,"AMINES, ALIPHATIC"
1039,10400,"AMINO ACIDS AND AMINO SALTS"
3035,10425,"P-AMINO BENZOIC ACID"
2435,10450,"AMINOCARB"
3907,10460,"AMINO ETHOXY VINYL GLYCINE HYDROCHLORIDE"
3034,10475,"2-((2-AMINO ETHYL) AMINO) ETHANOL DODECYL BENZENE SULFONATE"
3917,10490,"2-PROPANOL, 1-AMINO"
50,10495,"4-AMINOPYRIDINE"
2016,10500,"AMITRAZ"
20,10600,"AMITROLE"
22,10800,"AMMONIA"
3579,10810,"AMMONIATED CASEINATE"
3036,10850,"AMMONIUM ACETATE"
3037,10875,"AMMONIUM ALUM"
2380,10900,"AMMONIUM ARSENATE"
3038,10910,"AMMONIUM BICARBONATE"
3039,10920,"AMMONIUM BISULFATE"
3040,10930,"AMMONIUM BROMIDE"
3041,10940,"AMMONIUM CARBAMATE"
3042,10950,"AMMONIUM CARBONATE"
3043,10960,"AMMONIUM CHLORIDE"
3044,10970,"AMMONIUM CITRATE"
3045,10980,"AMMONIUM DIISODECYL SULFOSUCCINATE"
3580,10985,"AMMONIUM DODECYL ALCOHOL POLY OXYETHYLENE PHOSPHATE (3-20 MOLES)"
3046,10987,"AMMONIUM DODECYL POLY OXYETHYLENE SULFATE"
3047,10993,"AMMONIUM FERRIC SULFATE"
695,11100,"AMMONIUM FLUOSILICATE"
2381,11120,"AMMONIUM HYDROXIDE"
2109,11150,"AMMONIUM ISOBUTYRATE"
3048,11175,"AMMONIUM LACTATE"
1017,11200,"AMMONIUM LAURYL SULFATE"
2382,11300,"AMMONIUM LIGNOSULPHONATE"
3050,11375,"AMMONIUM NONYL PHENYL POLY OXYETHYLENE SULFATE"
1230,11400,"AMMONIUM OLEATE"
891,11500,"AMMONIUM OXALATE"
2383,11600,"AMMONIUM PARETH-25 SULFATE"
3052,11630,"AMMONIUM NITRATE"
5015,11650,"AMMONIUM PROPIONATE"
3053,11660,"AMMONIUM STEARATE"
21,11700,"AMMONIUM SULFAMATE"
1363,11750,"AMMONIUM SULFATE"
995,11800,"AMMONIUM TALL OIL FATTY ACID SOAP"
25,11900,"AMMONIUM THIOCYANATE"
892,12000,"AMMONIUM THIOSULFATE"
3054,12012,"AMMONIUM XYLENE SULFONATE"
2384,12025,"AMOCO 6342"
2385,12050,"AMPELOMYCES QUISQUALIS"
2386,12075,"AMSCO-SOLV"
2387,12100,"AMYCOL POTATO ALPHA STARCH"
1889,12150,"AMYL ACETATE"
900,12200,"PARA-TERT-AMYLPHENOL"
1056,12300,"PARA-TERT-AMYLPHENOL, POTASSIUM SALT"
5089,12350,"ANAGRAPHA FALCIFERA MULTI-NUCLEAR POLYHEDROSIS VIRUS (AFMNPV)"
1744,12400,"ANCYMIDOL"
1478,12500,"ANETHOL"
2204,12600,"ANHYDROUS ZIRCONIUM (IV) OXIDE"
256,12700,"ANILAZINE"
3056,12750,"ANILINE"
1345,12800,"ANIMAL GLAND EXTRACTS"
3581,12810,"ANIMAL GLUE"
3893,12875,"ANNATTO"
5329,12890,"ANTHRAQUINONE"
2388,12900,"ANTIMONY"
3057,12950,"ANTIMONY POTASSIUM TARTRATE"
2001,13000,"ANTIMYCIN A"
38,13700,"ANTU"
3582,13810,"APPLE POMACE"
39,13815,"ARAMITE"
2389,13825,"ARMUL 22"
2390,13850,"ARMUL 33"
3908,13855,"ARMUL 88"
2391,13860,"ARMUL 214/215"
2392,13870,"ARMUL 358"
2393,13875,"ARMUL 646"
3878,13876,"ARMUL 1426"
3877,13877,"ARMUL 1426 HF"
3883,13878,"ARMUL 1427"
3876,13879,"ARMUL 1427 HF"
5003,13880,"AROCLOR"
2394,13885,"AROMATIC 100"
2395,13890,"AROMATIC 150"
2396,14000,"AROMATIC 200"
710,14100,"ARSENIC"
40,14200,"ARSENIC ACID"
631,14300,"ARSENIC PENTOXIDE"
42,14400,"ARSENIC TRIOXIDE"
2397,14500,"ARTIFICIAL PEANUT BUTTER FLAVOR WL-5344"
2398,14600,"ASBESTOS"
3058,14650,"ASCORBYL PALMITATE"
1140,14700,"ASPHALT SOLIDS"
1693,14800,"ASPON"
2399,14850,"ASTRAZON YELLOW 4G200"
5076,14875,"ASULAM"
1746,14900,"ASULAM, SODIUM SALT"
3909,14915,"ATLOX 775"
3910,14924,"ATLOX 847"
2400,14925,"ATLOX 848"
3911,14930,"ATLOX 1045A"
3912,14935,"ATLOX 3401"
2401,14950,"ATLOX 3403F"
3921,14960,"ATLOX 3404F"
2402,14975,"ATLOX 3404-XF(ZS)"
2403,15000,"ATLOX 3406F"
2404,15050,"ATLOX 3409F"
3913,15075,"ATLOX 3453F"
3922,15080,"ATLOX 3454F"
3914,15085,"ATLOX 3455F"
3915,15095,"ATLOX 3472F"
3916,15097,"ATPLUS 300F"
4050,15098,"ATRATON"
45,15100,"ATRAZINE"
4051,15150,"DEETHYL-ATRAZINE"
4052,15175,"ATRAZINE DEALKYLATED"
90045,15200,"ATRAZINE, OTHER RELATED"
3059,15250,"ATROPINE"
5143,15260,"ATTAPULGITE TYPE CLAY"
702,15300,"AURAMINE"
2405,15400,"AUTOGRAPHA CALIFORNICA"
2254,15500,"AVERMECTIN"
92254,15505,"AVERMECTIN, OTHER RELATED"
2328,15600,"AZADIRACHTIN"
5025,15625,"AZAFENIDIN"
2406,15650,"AZETIDINE-3-CARBOXYLIC ACID"
4053,15674,"AZINPHOS-ETHYL"
314,15700,"AZINPHOS METHYL"
4054,15715,"AZINPHOS-METHYL OXYGEN ANALOG"
2407,15725,"2,2'-AZOBIS ISOBUTYRONITRILE"
2408,15750,"AZOCYCLOTIN"
2026,15800,"AZACOSTEROL"
3890,15825,"AZODICARBONAMIDE"
4037,15875,"AZOXYSTROBIN"
5183,15890,"BACILLUS CEREUS, STRAIN BP01"
5770,15895,"BACILLUS PUMILUS, STRAIN QST 2808"
2183,15900,"BACILLUS POPILLIAE"
2274,15950,"BACILLUS SPHAERICUS"
2409,15975,"BACILLUS SPHAERICUS, SEROTYPE H-5A5B, STRAIN 2362 "
3945,15985,"BACILLUS SUBTILIS GB03"
5120,15990,"BACILLUS SUBTILIS MBI600"
86,16000,"BACILLUS THURINGIENSIS (BERLINER)"
3843,16005,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. AIZAWAI, GC-91 PROTEIN"
3856,16010,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. AIZAWAI, SEROTYPE H-7"
5226,16013,"BACILLUS THURINGIENSIS, SUBSP. AIZAWAI, STRAIN SD-1372, LEPIDOPTERAN ACTIVE TOXIN(S)"
5819,16014,"BACILLUS THURINGIENSIS VAR. AIZAWAI MOCRY1F AND THE GENETIC MATERIAL NECESSARY FOR ITS PRODUCTION (PLASMID INSERT PHP 12537) IN MAIZE"
2410,16015,"BACILLUS THURINGIENSIS DARSTADIENSIS"
3954,16020,"BACILLUS THURINGIENSIS DELTA ENDOTOXIN PRODUCED IN CORN                "
3857,16040,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. ISRAELENSIS, SEROTYPE H-14"
4018,16045,"BACILLUS THURINGIENSIS SUBSPECIES ISRAELENSIS, STRAIN IPS-78"
4005,16050,"BACILLUS THURINGIENSIS, VAR. JAPONENSIS, STRAIN BUIBUI"
3858,16060,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, SEROTYPE 3A,3B"
5048,16068,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, DELTA-ENDOTOXIN  AS PRODUCED IN CORN BY AN HD-1 GENE, AND ITS CONTROLLING SEQUENCES AND FOUND ON PLASMID VECTOR, PZO1502."
3978,16069,"BACILLUS THURINGIENSIS VAR. KURSTAKI STRAIN M-200"
3965,16070,"BACILLUS THURINGIENSIS, VAR. KURSTAKI DELTA ENDOTOXINS CRY 1A(C) AND CRY 1C (GENETICALLY ENGINEERED) ENCAPSULATED IN PSEUDOMONAS FLUORESCENS (KILLED) "
5049,16071,"BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 LEPIDOPTERAN ACTIVE TOXIN"
3990,16072,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN ABG-6413 (ABTS-2198) BY ABBOTT"
5004,16073,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO1 BY AGREVO"
5005,16074,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO2 BY AGREVO"
3989,16075,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3159::G27 BY SANDOZ"
4041,16077,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3158::CRY A BY SANDOZ"
3955,16080,"BACILLUS THURINGIENSIS VAR. KURSTAKI/AIZAWAI"
3962,16100,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN ECX 9441"
5325,16103,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7826"
3963,16105,"BACILLUS THURINGIENSIS, VAR. KURSTAKI, GENETICALLY ENGINEERED, STRAIN EG7618"
3554,16110,"BACILLUS THURINGIENSIS VAR. KURSTAKI PROTEIN IN COTTONSEED"
3859,16120,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG 2348"
3860,16130,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG2371"
3861,16140,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN 2424"
5051,16141,"BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 COLEOPTERAN ACTIVE TOXIN"
4024,16142,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN BMP 123"
4023,16144,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1"
